gi|39933080:2131667-2131987.
gi|39933080:2131984-2132394.
gi|39933080:2132407-2132814.
gi|39933080:2132824-2133326.
gi|39933080:2133338-2133931.
gi|39933080:2134093-2134731.
gi|39933080:2136963-2137874.
gi|39933080:2137914-2138366.
gi|39933080:2141169-2145041.
gi|39933080:2128329-2129489.
gi|39933080:2120319-2120996.
gi|39933080:2121168-2122421.
gi|39933080:2118601-2119788.
AF189160.2
M64976.1
gi|6467532:61-1242.
gi|6467532:1428-2618.
gi|6467532:2866-3420.
gi|6467532:3452->3760.
RRC02401.
RRC03805.
RRC03806.
RRC04617.
ORF00001.	ORF02382	ORF00001
ORF00002.	ORF03525	ORF03202	ORF02381	ORF00987	ORF00002	ORF03036	ORF02740	ORF01534
ORF00003.	ORF01535	ORF00003
ORF00004.	ORF01536	ORF00004
ORF00005.	ORF01537	ORF00005
ORF00006.	ORF01538	ORF00006
ORF00007.	ORF01539	ORF00007
ORF00008.	ORF01540	ORF00008
ORF00009.	ORF01541	ORF00009
ORF00010.	ORF01542	ORF00010
ORF00011.	ORF03844	ORF00011
ORF00012.	ORF00012
ORF00146.	ORF00146
ORF00147.	ORF00147
ORF00148.	ORF00148
ORF00149.	ORF00149
ORF00150.	ORF00150
ORF00151.	ORF00151	ORF00149
ORF00152.	ORF00152
ORF00153.	ORF00153
ORF00154.	ORF00154
ORF00155.	ORF00155
ORF00156.	ORF00156
ORF00157.	ORF00157
ORF00158.	ORF00158
ORF00159.	ORF00159
ORF00160.	ORF00160
ORF00161.	ORF00161
ORF00162.	ORF00162
ORF00163.	ORF00163	ORF02196
ORF00164.	ORF00164
ORF00165.	ORF00165
ORF00167.	ORF00167
ORF00168.	ORF00168
ORF00169.	ORF00169
ORF00170.	ORF00170
ORF00171.	ORF00171
ORF00172.	ORF00172
ORF00173.	ORF00173
ORF00174.	ORF00174
ORF00175.	ORF00175
ORF00176.	ORF00176
ORF00177.	ORF00177	ORF03891
ORF00178.	ORF00178
ORF00179.	ORF00179
ORF00180.	ORF00180
ORF00181.	ORF00181
ORF00182.	ORF00182	ORF00866
ORF00183.	ORF00183
ORF00184.	ORF00184
ORF00185.	ORF00185
ORF00186.	ORF00186
ORF00187.	ORF00187
ORF00188.	ORF00188
ORF00189.	ORF00189
ORF00190.	ORF00190
ORF00191.	ORF00191
ORF00192.	ORF00192
ORF00193.	ORF00193
ORF00194.	ORF00194
ORF00195.	ORF00195
ORF00196.	ORF00196
ORF00197.	ORF00197
ORF00198.	ORF00198
ORF00199.	ORF00199
ORF00200.	ORF00200
ORF00201.	ORF00201
ORF00202.	ORF00202
ORF00203.	ORF00203
ORF00204.	ORF00204
ORF00205.	ORF00205
ORF00206.	ORF00206
ORF00207.	ORF00207
ORF00208.	ORF00208
ORF00209.	ORF00209
ORF00210.	ORF00210
ORF00211.	ORF00211
ORF00212.	ORF00212
ORF00213.	ORF00213
ORF00214.	ORF00214
ORF00215.	ORF00215
ORF00216.	ORF00216
ORF00217.	ORF00217
ORF00218.	ORF00218
ORF00219.	ORF00219
ORF00220.	ORF00220
ORF00221.	ORF00221
ORF00222.	ORF00222
ORF00223.	ORF00223
ORF00224.	ORF00224
ORF00225.	ORF00225
ORF00226.	ORF00226
ORF00227.	ORF00227
ORF00228.	ORF00228
ORF00229.	ORF00229
ORF00230.	ORF00230
ORF00231.	ORF00231
ORF00232.	ORF00232
ORF00233.	ORF00233
ORF00234.	ORF00234
ORF00235.	ORF00235
ORF00236.	ORF00236
ORF00237.	ORF00237
ORF00238.	ORF00238
ORF00239.	ORF00239
ORF00240.	ORF00240
ORF00241.	ORF00241
ORF00242.	ORF00242
ORF00243.	ORF00243
ORF00244.	ORF00244
ORF00245.	ORF00245
ORF00246.	ORF00246
ORF00247.	ORF00247
ORF00248.	ORF00248
ORF00249.	ORF00249
ORF00250.	ORF00250
ORF00251.	ORF00251
ORF00252.	ORF00252
ORF00253.	ORF00253
ORF00254.	ORF00254
ORF00255.	ORF00255
ORF00256.	ORF00256
ORF00257.	ORF00257
ORF00258.	ORF00258
ORF00259.	ORF00259
ORF00260.	ORF00260
ORF00261.	ORF00261
ORF00262.	ORF00262
ORF00263.	ORF00263
ORF00264.	ORF00264
ORF00265.	ORF00265
ORF00266.	ORF00266
ORF00267.	ORF00267
ORF00268.	ORF00268
ORF00269.	ORF00269
ORF00270.	ORF00270
ORF00271.	ORF00271
ORF00272.	ORF00272
ORF00273.	ORF00273
ORF00274.	ORF00274
ORF00275.	ORF00275
ORF00276.	ORF00276
ORF00277.	ORF00277
ORF00278.	ORF00278	ORF00824
ORF00279.	ORF00279
ORF00280.	ORF00280
ORF00281.	ORF00281
ORF00282.	ORF00282
ORF00283.	ORF00283
ORF00284.	ORF00284
ORF00285.	ORF00285
ORF00286.	ORF00286
ORF00287.	ORF00287
ORF00288.	ORF00288
ORF00289.	ORF00289
ORF00290.	ORF00290
ORF00291.	ORF00291
ORF00292.	ORF00292
ORF00293.	ORF00293
ORF00294.	ORF00294
ORF00295.	ORF00295
ORF00296.	ORF00296
ORF00297.	ORF00297
ORF00298.	ORF00298
ORF00299.	ORF00299
ORF00300.	ORF00300
ORF00301.	ORF00301
ORF00302.	ORF00302
ORF00303.	ORF00303
ORF00304.	ORF00304
ORF00305.	ORF00305
ORF00306.	ORF00306
ORF00307.	ORF00307
ORF00308.	ORF00308
ORF00309.	ORF00309
ORF00310.	ORF00310
ORF00311.	ORF00311
ORF00312.	ORF00312
ORF00313.	ORF00313
ORF00314.	ORF00314
ORF00315.	ORF00315
ORF00316.	ORF00316
ORF00317.	ORF00317
ORF00318.	ORF00318
ORF00319.	ORF00319
ORF00320.	ORF00320
ORF00321.	ORF00321	ORF03494
ORF00322.	ORF00322
ORF00323.	ORF00323
ORF00324.	ORF00324
ORF00325.	ORF00325
ORF00326.	ORF00326
ORF00327.	ORF00327	ORF00157
ORF00328.	ORF00328
ORF00329.	ORF00329
ORF00330.	ORF00330
ORF00331.	ORF00331
ORF00332.	ORF00332
ORF00333.	ORF00333
ORF00334.	ORF00334
ORF00335.	ORF00335
ORF00336.	ORF00336
ORF00337.	ORF00337
ORF00338.	ORF00338
ORF00339.	ORF00339
ORF00340.	ORF00340
ORF00341.	ORF00341
ORF00342.	ORF00342
ORF00343.	ORF00343
ORF00344.	ORF00344
ORF00345.	ORF00345
ORF00346.	ORF00346
ORF00347.	ORF00347
ORF00348.	ORF00348
ORF00349.	ORF00349
ORF00350.	ORF00350
ORF00351.	ORF00351
ORF00352.	ORF00352
ORF00353.	ORF00353
ORF00354.	ORF00354
ORF00355.	ORF00355
ORF00356.	ORF00356
ORF00357.	ORF00357
ORF00358.	ORF00358
ORF00359.	ORF00359
ORF00360.	ORF00360
ORF00361.	ORF00361
ORF00362.	ORF00362
ORF00363.	ORF00363
ORF00364.	ORF00364
ORF00365.	ORF00365
ORF00366.	ORF00366
ORF00367.	ORF00367
ORF00368.	ORF00368
ORF00369.	ORF00369
ORF00370.	ORF00370
ORF00371.	ORF00371
ORF00372.	ORF00372
ORF00373.	ORF00373
ORF00374.	ORF00374
ORF00375.	ORF00375
ORF00376.	ORF00376
ORF00377.	ORF00377
ORF00378.	ORF00378
ORF00379.	ORF00379
ORF00380.	ORF00380
ORF00381.	ORF00381
ORF00382.	ORF00382
ORF00383.	ORF00383
ORF00384.	ORF00384
ORF00385.	ORF00385
ORF00386.	ORF00386
ORF00387.	ORF00387
ORF00388.	ORF00388
ORF00389.	ORF00389
ORF00390.	ORF00390
ORF00391.	ORF00391
ORF00392.	ORF00392
ORF00393.	ORF00393
ORF00394.	ORF00394
ORF00395.	ORF00395
ORF00396.	ORF00396
ORF00397.	ORF00397
ORF00398.	ORF00398
ORF00399.	ORF00399
ORF00400.	ORF00400
ORF00401.	ORF00401
ORF00402.	ORF00402
ORF00403.	ORF00403
ORF00404.	ORF00404
ORF00405.	ORF00405
ORF00406.	ORF00406
ORF00407.	ORF00407
ORF00408.	ORF00408
ORF00409.	ORF00409
ORF00410.	ORF00410
ORF00411.	ORF00411
ORF00412.	ORF00412
ORF00413.	ORF00413
ORF00414.	ORF00414
ORF00415.	ORF00415
ORF00416.	ORF00416
ORF00417.	ORF00417
ORF00418.	ORF00418
ORF00419.	ORF00419
ORF00420.	ORF00420
ORF00421.	ORF00421
ORF00422.	ORF00422
ORF00423.	ORF00423
ORF00424.	ORF00424
ORF00425.	ORF00425
ORF00426.	ORF00426
ORF00427.	ORF00427
ORF00428.	ORF00428
ORF00429.	ORF00429
ORF00430.	ORF00430
ORF00431.	ORF00431
ORF00432.	ORF00432
ORF00433.	ORF00433
ORF00434.	ORF00434
ORF00435.	ORF00435
ORF00436.	ORF00436
ORF00437.	ORF00437
ORF00438.	ORF00438
ORF00439.	ORF00439
ORF00440.	ORF00440
ORF00441.	ORF00441
ORF00442.	ORF00442
ORF00443.	ORF00443
ORF00444.	ORF00444
ORF00445.	ORF00445
ORF00446.	ORF00446
ORF00447.	ORF00447
ORF00448.	ORF00448
ORF00449.	ORF00449
ORF00450.	ORF00450
ORF00451.	ORF00451
ORF00452.	ORF00452
ORF00453.	ORF00453
ORF00454.	ORF00454
ORF00455.	ORF00455
ORF00456.	ORF00456
ORF00457.	ORF00457
ORF00458.	ORF00458
ORF00459.	ORF00459
ORF00460.	ORF00460
ORF00461.	ORF00461	ORF00129
ORF00462.	ORF00462
ORF00463.	ORF00463
ORF00464.	ORF00464
ORF00465.	ORF00465
ORF00466.	ORF00466
ORF00467.	ORF00467
ORF00468.	ORF00468
ORF00469.	ORF00469
ORF00470.	ORF00470
ORF00471.	ORF00471
ORF00472.	ORF00472
ORF00473.	ORF00473
ORF00474.	ORF00474
ORF00475.	ORF00475
ORF00476.	ORF00476
ORF00477.	ORF03619	ORF00477	ORF01662	ORF02687
ORF00478.	ORF03620	ORF02688	ORF01702	ORF00478	ORF00016
ORF00479.	ORF00479
ORF00480.	ORF00480
ORF00481.	ORF00481
ORF00482.	ORF00482
ORF00483.	ORF00483
ORF00484.	ORF00484
ORF00485.	ORF00485
ORF00486.	ORF00486
ORF00487.	ORF00487
ORF00488.	ORF00488
ORF00489.	ORF04027	ORF03618	ORF03539	ORF01243	ORF01165	ORF00774	ORF00489
ORF00490.	ORF00490
ORF00491.	ORF00491
ORF00492.	ORF00492
ORF00493.	ORF00493
ORF00494.	ORF00494
ORF00495.	ORF00495
ORF00496.	ORF00496
ORF00497.	ORF00497
ORF00498.	ORF00498
ORF00499.	ORF00499
ORF00500.	ORF00500	ORF00499
ORF00501.	ORF00501
ORF00502.	ORF00502
ORF00503.	ORF00503
ORF00504.	ORF00504
ORF00505.	ORF00505
ORF00506.	ORF00506
ORF00507.	ORF00507
ORF00508.	ORF00508
ORF00509.	ORF00509
ORF00510.	ORF00510
ORF00511.	ORF00511
ORF00512.	ORF00512
ORF00513.	ORF00513
ORF00514.	ORF00514
ORF00515.	ORF00515
ORF00516.	ORF00516
ORF00517.	ORF00517
ORF00518.	ORF00518
ORF00519.	ORF00519
ORF00520.	ORF00520
ORF00521.	ORF00521
ORF00522.	ORF00522
ORF00523.	ORF00523
ORF00524.	ORF00524
ORF00525.	ORF00525
ORF00526.	ORF00526
ORF00527.	ORF00527
ORF00528.	ORF00528
ORF00529.	ORF00529
ORF00530.	ORF00530
ORF00531.	ORF00531
ORF00532.	ORF00532
ORF00533.	ORF00533
ORF00534.	ORF00534
ORF00535.	ORF00535
ORF00537.	ORF00537
ORF00539.	ORF00539
ORF00540.	ORF00540
ORF00541.	ORF00541
ORF00542.	ORF00542
ORF00543.	ORF00543
ORF00544.	ORF00544
ORF00545.	ORF00545
ORF00546.	ORF00546
ORF00547.	ORF00547
ORF00548.	ORF00548
ORF00549.	ORF00549
ORF00550.	ORF00550
ORF00551.	ORF00551
ORF00552.	ORF00552
ORF00553.	ORF00553
ORF00554.	ORF00554
ORF00555.	ORF00555
ORF00556.	ORF00556
ORF00557.	ORF00557
ORF00558.	ORF00558
ORF00559.	ORF00559
ORF00560.	ORF00560
ORF00561.	ORF00561
ORF00562.	ORF00562
ORF00563.	ORF00563
ORF00564.	ORF00564
ORF00565.	ORF00565
ORF00566.	ORF00566	ORF00567
ORF00567.	ORF00567
ORF00568.	ORF00568
ORF00569.	ORF00569
ORF00570.	ORF00570
ORF00571.	ORF00571
ORF00572.	ORF00572
ORF00573.	ORF00573
ORF00574.	ORF00574
ORF00575.	ORF00575
ORF00576.	ORF00576
ORF00577.	ORF00577
ORF00578.	ORF00578
ORF00579.	ORF00579
ORF00580.	ORF00580
ORF00581.	ORF00581
ORF00582.	ORF00582
ORF00583.	ORF00583
ORF00584.	ORF00584
ORF00585.	ORF00585
ORF00586.	ORF00586
ORF00587.	ORF00587
ORF00588.	ORF00588
ORF00589.	ORF00589
ORF00590.	ORF00590
ORF00591.	ORF00591
ORF00592.	ORF00592
ORF00593.	ORF00593
ORF00594.	ORF00594
ORF00595.	ORF00595
ORF00596.	ORF00596
ORF00597.	ORF00597
ORF00598.	ORF00598
ORF00599.	ORF00599
ORF00600.	ORF00600
ORF00601.	ORF00601
ORF00602.	ORF00602
ORF00603.	ORF00603
ORF00604.	ORF00604
ORF00605.	ORF00605
ORF00606.	ORF00606
ORF00607.	ORF00607
ORF00608.	ORF00608
ORF00609.	ORF00609
ORF00610.	ORF00610
ORF00611.	ORF00611
ORF00612.	ORF00612
ORF00613.	ORF00613
ORF00614.	ORF00614
ORF00615.	ORF00615
ORF00616.	ORF00616
ORF00617.	ORF00617
ORF00618.	ORF00618
ORF00619.	ORF00619
ORF00620.	ORF00620
ORF00621.	ORF00621
ORF00622.	ORF00622
ORF00623.	ORF00623
ORF00624.	ORF00624
ORF00625.	ORF00625
ORF00626.	ORF00626
ORF00627.	ORF00627
ORF00628.	ORF00628
ORF00629.	ORF00629
ORF00630.	ORF00630
ORF00631.	ORF00631
ORF00632.	ORF00632
ORF00633.	ORF00633
ORF00634.	ORF00634
ORF00635.	ORF00635
ORF00636.	ORF00636
ORF00637.	ORF00637
ORF00638.	ORF00638
ORF00639.	ORF00639
ORF00640.	ORF00640
ORF00641.	ORF00641
ORF00642.	ORF00642
ORF00643.	ORF00643
ORF00644.	ORF00644	ORF02636
ORF00645.	ORF00645
ORF00646.	ORF00646
ORF00647.	ORF00647
ORF00648.	ORF00648
ORF00649.	ORF00649
ORF00650.	ORF00650
ORF00651.	ORF00651
ORF00652.	ORF00652
ORF00653.	ORF00653
ORF00654.	ORF00654
ORF00655.	ORF00655
ORF00656.	ORF00656
ORF00657.	ORF00657
ORF00658.	ORF00658
ORF00659.	ORF00659
ORF00660.	ORF00660
ORF00661.	ORF00661
ORF00662.	ORF00662
ORF00663.	ORF00663
ORF00664.	ORF00664
ORF00665.	ORF00665
ORF00666.	ORF00666
ORF00667.	ORF00667
ORF00668.	ORF00668
ORF00669.	ORF00669
ORF00670.	ORF00670
ORF00671.	ORF00671
ORF00672.	ORF00672
ORF00673.	ORF00673
ORF00674.	ORF00674
ORF00675.	ORF00675
ORF00676.	ORF00676
ORF00677.	ORF00677
ORF00678.	ORF00678
ORF00679.	ORF00679	ORF03185
ORF00680.	ORF00680
ORF00681.	ORF00681
ORF00682.	ORF00682
ORF00683.	ORF00683
ORF00684.	ORF00699	ORF00684
ORF00685.	ORF00685
ORF00686.	ORF00686
ORF00687.	ORF00687
ORF00688.	ORF00688
ORF00689.	ORF00689
ORF00690.	ORF00690
ORF00691.	ORF00691
ORF00692.	ORF00692
ORF00693.	ORF00693
ORF00694.	ORF00694
ORF00695.	ORF00695
ORF00696.	ORF00696
ORF00697.	ORF00697
ORF00698.	ORF00698
ORF00700.	ORF00700
ORF00701.	ORF00701
ORF00702.	ORF00702
ORF00703.	ORF00703
ORF00704.	ORF00704
ORF00705.	ORF00705
ORF00706.	ORF00706
ORF00707.	ORF00707
ORF00708.	ORF00708
ORF00709.	ORF00709
ORF00710.	ORF00710
ORF00711.	ORF00711
ORF00712.	ORF00712
ORF00713.	ORF00713
ORF00714.	ORF00714
ORF00715.	ORF00715
ORF00716.	ORF00716
ORF00717.	ORF00717
ORF00718.	ORF00718
ORF00719.	ORF00719
ORF00720.	ORF00720
ORF00721.	ORF00721
ORF00722.	ORF00722
ORF00723.	ORF00723
ORF00724.	ORF00724
ORF00725.	ORF00725
ORF00726.	ORF00726
ORF00727.	ORF00727
ORF00728.	ORF00728
ORF00729.	ORF00729	ORF03750
ORF00730.	ORF00730
ORF00731.	ORF00731
ORF00732.	ORF00732
ORF00733.	ORF00733
ORF00734.	ORF00734
ORF00735.	ORF00735
ORF00736.	ORF00736
ORF00737.	ORF00737
ORF00738.	ORF00738
ORF00739.	ORF00739
ORF00740.	ORF00740
ORF00741.	ORF00741
ORF00742.	ORF00742
ORF00743.	ORF00743
ORF00744.	ORF00744
ORF00745.	ORF00745
ORF00746.	ORF00746
ORF00747.	ORF00747
ORF00748.	ORF00748
ORF00749.	ORF00749
ORF00750.	ORF00750
ORF00751.	ORF00751
ORF00752.	ORF00752
ORF00753.	ORF00753
ORF00754.	ORF00754
ORF00755.	ORF00755
ORF00756.	ORF00756
ORF00757.	ORF00757
ORF00758.	ORF00758
ORF00759.	ORF00759
ORF00760.	ORF00760
ORF00761.	ORF00761
ORF00762.	ORF00762
ORF00763.	ORF00763
ORF00764.	ORF00764
ORF00765.	ORF00765
ORF00766.	ORF00766
ORF00767.	ORF00767
ORF00768.	ORF00768
ORF00769.	ORF00769
ORF00770.	ORF00770
ORF00771.	ORF00771
ORF00772.	ORF00772
ORF00773.	ORF00773
ORF00775.	ORF00775
ORF00776.	ORF00776
ORF00777.	ORF00777
ORF00778.	ORF00778
ORF00779.	ORF00779
ORF00780.	ORF00780
ORF00781.	ORF00781
ORF00782.	ORF00782
ORF00783.	ORF00783
ORF00784.	ORF00784
ORF00785.	ORF00785
ORF00786.	ORF00786
ORF00787.	ORF00787
ORF00788.	ORF00788
ORF00789.	ORF00789
ORF00790.	ORF00790
ORF00791.	ORF00791
ORF00792.	ORF00792
ORF00793.	ORF00793
ORF00794.	ORF00794
ORF00795.	ORF00795
ORF00796.	ORF00796
ORF00797.	ORF00797
ORF00798.	ORF00798
ORF00799.	ORF00799
ORF00800.	ORF00800
ORF00801.	ORF00801
ORF00802.	ORF00802
ORF00803.	ORF00803
ORF00804.	ORF00804
ORF00805.	ORF00805
ORF00806.	ORF00806
ORF00807.	ORF00807
ORF00808.	ORF00808
ORF00809.	ORF00809
ORF00810.	ORF00810
ORF00811.	ORF00811
ORF00812.	ORF00812
ORF00813.	ORF00813
ORF00814.	ORF00814
ORF00815.	ORF00815
ORF00816.	ORF00816
ORF00817.	ORF00817
ORF00818.	ORF00818
ORF00819.	ORF00819
ORF00820.	ORF00820
ORF00821.	ORF00821
ORF00822.	ORF00822
ORF00823.	ORF00823
ORF00824.	ORF00824
ORF00825.	ORF00825
ORF00826.	ORF00826
ORF00827.	ORF00827
ORF00828.	ORF00828
ORF00829.	ORF00829
ORF00830.	ORF00830
ORF00831.	ORF00831
ORF00832.	ORF00832
ORF00833.	ORF00833
ORF00834.	ORF00834
ORF00835.	ORF00835
ORF00836.	ORF00836
ORF00837.	ORF00837
ORF00838.	ORF00838
ORF00839.	ORF00839
ORF00840.	ORF00840
ORF00841.	ORF00841
ORF00842.	ORF00842
ORF00843.	ORF00843
ORF00844.	ORF00844
ORF00845.	ORF00845
ORF00846.	ORF00846
ORF00847.	ORF00847
ORF00848.	ORF00848
ORF00849.	ORF00849
ORF00850.	ORF00850
ORF00851.	ORF00851
ORF00852.	ORF00852
ORF00853.	ORF00853
ORF00854.	ORF00854
ORF00855.	ORF00855
ORF00856.	ORF00856	ORF02640
ORF00857.	ORF00857
ORF00858.	ORF00858
ORF00859.	ORF00859
ORF00860.	ORF00860
ORF00861.	ORF00861
ORF00862.	ORF00862
ORF00863.	ORF00863
ORF00864.	ORF00864
ORF00865.	ORF00865
ORF00866.	ORF00866
ORF00867.	ORF00867
ORF00868.	ORF00868
ORF00869.	ORF00869
ORF00870.	ORF00870
ORF00871.	ORF00871
ORF00872.	ORF00872
ORF00873.	ORF00873
ORF00874.	ORF00874
ORF00875.	ORF00875
ORF00876.	ORF00876
ORF00877.	ORF00877
ORF00878.	ORF00878
ORF00879.	ORF00879
ORF00880.	ORF00880
ORF00881.	ORF00881
ORF00882.	ORF00882
ORF00883.	ORF00883
ORF00884.	ORF00884	ORF01282
ORF00885.	ORF00885
ORF00886.	ORF00886
ORF00887.	ORF00887
ORF00888.	ORF00888
ORF00889.	ORF00889
ORF00890.	ORF00890
ORF00891.	ORF00891
ORF00892.	ORF00892
ORF00893.	ORF00893
ORF00894.	ORF00894
ORF00895.	ORF00895
ORF00896.	ORF00896
ORF00897.	ORF00897
ORF00898.	ORF00898
ORF00899.	ORF00899
ORF00900.	ORF00900
ORF00901.	ORF00901
ORF00903.	ORF00903
ORF00904.	ORF00904
ORF00905.	ORF00905
ORF00906.	ORF00906
ORF00907.	ORF00907
ORF00908.	ORF00908
ORF00909.	ORF00909
ORF00910.	ORF00910
ORF00911.	ORF00911
ORF00912.	ORF00912
ORF00913.	ORF00913
ORF00914.	ORF00914
ORF00915.	ORF00915
ORF00916.	ORF00916
ORF04065.	ORF04065
ORF00917.	ORF00917
ORF00918.	ORF00918
ORF00919.	ORF00919
ORF00920.	ORF00920
ORF00921.	ORF00921
ORF00922.	ORF00922
ORF00923.	ORF00923
ORF00924.	ORF00924
ORF00925.	ORF00925
ORF00926.	ORF00926
ORF00927.	ORF00927
ORF00928.	ORF00928
ORF00929.	ORF00929
ORF00930.	ORF00930	ORF00929	ORF00368
ORF00931.	ORF00931
ORF00932.	ORF00932
ORF00933.	ORF00933
ORF00934.	ORF00934
ORF00935.	ORF00935
ORF00936.	ORF00936
ORF00937.	ORF00937
ORF00938.	ORF00938
ORF00939.	ORF00939
ORF00940.	ORF00940
ORF00941.	ORF00941
ORF00942.	ORF00942
ORF00943.	ORF00943
ORF00944.	ORF00944
ORF00945.	ORF00945
ORF00946.	ORF00946
ORF00947.	ORF00947
ORF00948.	ORF00948
ORF00949.	ORF00949
ORF00950.	ORF00950
ORF00951.	ORF00951
ORF00952.	ORF00952
ORF00953.	ORF00953
ORF00954.	ORF00954
ORF00955.	ORF00955
ORF00956.	ORF00956
ORF00957.	ORF00957
ORF00958.	ORF00958
ORF00959.	ORF00959
ORF00960.	ORF00960
ORF00961.	ORF00961
ORF00962.	ORF00962
ORF00963.	ORF00963
ORF00964.	ORF00964
ORF00965.	ORF00965
ORF00966.	ORF00966
ORF00967.	ORF00967
ORF00968.	ORF00968
ORF00969.	ORF00969
ORF00970.	ORF02873	ORF02347	ORF02304	ORF01587	ORF00973	ORF00970
ORF00971.	ORF00971
ORF00972.	ORF00972
ORF00974.	ORF00974
ORF00975.	ORF00975
ORF00976.	ORF00976
ORF00977.	ORF00977
ORF00978.	ORF00978
ORF00979.	ORF00979
ORF00980.	ORF00980
ORF00981.	ORF00981
ORF00982.	ORF00982
ORF00983.	ORF00983
ORF00984.	ORF00984
ORF00985.	ORF00985
ORF00986.	ORF00986
ORF00988.	ORF00988
ORF00989.	ORF00989
